"Town","FIPS","Year","Address 1","Address 2","Address 3","City","Zip","Telephone"
"Barkhamsted",900502760,2006,"","P.O. Box 588","","Pleasant Valley",6063,"(860) 379-8285"
"Barkhamsted",900502760,2011,"","P.O. Box 588","","Pleasant Valley",6063,"(860) 379-8285"
"Barkhamsted",900502760,2018,"","67 Ripley Hill Road","","Barkhamsted",6063,"(860) 379-8285"
"Beacon Falls",900903250,1996,"Town Hall","10 Maple Avenue","","Beacon Falls",6403,"(203) 729-4340"
"Beacon Falls",900903250,1999,"Town Hall","10 Maple Avenue","","Beacon Falls",6403,"(203) 729-4340"
"Beacon Falls",900903250,2002,"Town Hall","10 Maple Avenue","","Beacon Falls",6403,"(203) 729-4340"
"Beacon Falls",900903250,2006,"Town Hall","10 Maple Avenue","","Beacon Falls",6403,"(203) 729-4340"
"Beacon Falls",900903250,2011,"Town Hall","10 Maple Avenue","","Beacon Falls",6403,"(203) 729-4340"
"Beacon Falls",900903250,2018,"Town Hall","10 Maple Avenue","","Beacon Falls",6403,"(203) 729-4340"
"Berlin",900304300,1996,"","240 Kensington Road","","Berlin",6037,"(860) 828-7003"
"Berlin",900304300,1999,"","240 Kensington Road","","Berlin",6037,"(860) 828-7003"
"Berlin",900304300,2002,"","240 Kensington Road","","Berlin",6037,"(860) 828-7003"
"Berlin",900304300,2006,"","240 Kensington Road","","Berlin",6037,"(860) 828-7003"
"Berlin",900304300,2011,"","240 Kensington Road","","Berlin",6037,"(860) 828-7003"
"Berlin",900304300,2018,"","240 Kensington Road","","Berlin",6037,"(860) 828-7003"
"Bethany",900904580,1996,"Town Hall","40 Peck Road","","Bethany",6524,"(203) 393-2100"
"Bethany",900904580,1999,"Town Hall","40 Peck Road","","Bethany",6524,"(203) 393-2100"
"Bethany",900904580,2002,"Town Hall","40 Peck Road","","Bethany",6524,"(203) 393-2100"
"Bethany",900904580,2006,"Town Hall","40 Peck Road","","Bethany",6524,"(203) 393-2100"
"Bethany",900904580,2011,"Town Hall","40 Peck Road","","Bethany",6524,"(203) 393-2100"
"Bethany",900904580,2018,"Town Hall","40 Peck Road","","Bethany",6524,"(203) 393-2100"
"Bethel",900104720,1996,"","5 Library Place","","Bethel",6801,"(203) 794-8501"
"Bethel",900104720,1999,"","5 Library Place","","Bethel",6801,"(203) 794-8501"
"Bethel",900104720,2002,"Clifford J. Hurgin Municipal Center","1 School Street","","Bethel",6801,"(203) 794-8501"
"Bethel",900104720,2006,"Clifford J. Hurgin Municipal Center","1 School Street","","Bethel",6801,"(203) 794-8501"
"Bethel",900104720,2011,"Clifford J. Hurgin Municipal Center","1 School Street","","Bethel",6801,"(203) 794-8501"
"Bethel",900104720,2018,"Clifford J. Hurgin Municipal Center","1 School Street","","Bethel",6801,"(203) 794-8501"
"Bethlehem",900504930,1996,"","P.O. Box 160","","Bethlehem",6751,"(203) 266-7677"
"Bethlehem",900504930,1999,"","P.O. Box 160","","Bethlehem",6751,"(203) 266-7677"
"Bethlehem",900504930,2002,"","P.O. Box 160","","Bethlehem",6751,"(203) 266-7677"
"Bethlehem",900504930,2006,"","P.O. Box 160","","Bethlehem",6751,"(203) 266-7677"
"Bethlehem",900504930,2011,"","P.O. Box 160","","Bethlehem",6751,"(203) 266-7677"
"Bethlehem",900504930,2018,"","P.O. Box 160","","Bethlehem",6751,"(203) 266-7677"
"Bloomfield",900305910,1996,"","P.O. Box 337","","Bloomfield",6002,"(860) 769-3501"
"Bloomfield",900305910,1999,"","P.O. Box 337","","Bloomfield",6002,"(860) 769-3501"
"Bloomfield",900305910,2002,"","P.O. Box 337","","Bloomfield",6002,"(860) 769-3501"
"Bloomfield",900305910,2006,"","P.O. Box 337","","Bloomfield",6002,"(860) 769-3501"
"Bloomfield",900305910,2011,"","P.O. Box 337","","Bloomfield",6002,"(860) 769-3501"
"Bloomfield",900305910,2018,"","800 Bloomfield Avenue","","Bloomfield",6002,"(860) 769-3504"
"Bolton",901306260,1996,"","222 Bolton Center Road","","Bolton",6043,"(860) 649-8066"
"Bolton",901306260,1999,"","222 Bolton Center Road","","Bolton",6043,"(860) 649-8066"
"Bolton",901306260,2002,"","222 Bolton Center Road","","Bolton",6043,"(860) 649-8066"
"Bolton",901306260,2006,"","222 Bolton Center Road","","Bolton",6043,"(860) 649-8066"
"Bolton",901306260,2011,"","222 Bolton Center Road","","Bolton",6043,"(860) 649-8066"
"Bolton",901306260,2018,"","222 Bolton Center Road","","Bolton",6043,"(860) 649-8066"
"Bozrah",901106820,1996,"","P.O. Box 158","","Bozrah",6334,"(860) 889-2689"
"Bozrah",901106820,1999,"","P.O. Box 158","","Bozrah",6334,"(860) 889-2689"
"Bozrah",901106820,2002,"","P.O. Box 158","","Bozrah",6334,"(860) 889-2689"
"Bozrah",901106820,2006,"","1 River Rd","","Bozrah",6334,"(860) 889-2689"
"Bozrah",901106820,2011,"","1 River Rd","","Bozrah",6334,"(860) 889-2689"
"Bozrah",901106820,2018,"","1 River Rd","","Bozrah",6334,"(860) 889-2689"
"Branford",900907310,1996,"Town Hall","P.O. Box 150","","Branford",6405,"(203) 488-8394"
"Branford",900907310,1999,"Town Hall","1019 Main Street","(or) P.O. Box 150","Branford",6405,"(203) 488-8394"
"Branford",900907310,2002,"Town Hall","1019 Main Street","(or) P.O. Box 150","Branford",6405,"(203) 488-8394"
"Branford",900907310,2006,"Town Hall","1019 Main Street","(or) P.O. Box 150","Branford",6405,"(203) 488-8394"
"Branford",900907310,2011,"Town Hall","1019 Main Street","(or) P.O. Box 150","Branford",6405,"(203) 488-8394"
"Branford",900907310,2018,"Town Hall","1019 Main Street","(or) P.O. Box 150","Branford",6405,"(203) 488-8394"
"Bridgeport",900108070,1996,"City Hall","45 Lyon Terrace","","Bridgeport",6604,"(203) 576-7201"
"Bridgeport",900108070,1999,"City Hall","45 Lyon Terrace","","Bridgeport",6604,"(203) 576-7201"
"Bridgeport",900108070,2002,"City Hall","45 Lyon Terrace","","Bridgeport",6604,"(203) 576-7201"
"Bridgeport",900108070,2006,"City Hall","45 Lyon Terrace","","Bridgeport",6604,"(203) 576-7201"
"Bridgeport",900108070,2011,"City Hall","45 Lyon Terrace","","Bridgeport",6604,"(203) 576-7201"
"Bridgeport",900108070,2018,"City Hall","45 Lyon Terrace","","Bridgeport",6604,"(203) 576-7201"
"Bridgewater",900508210,1996,"","P.O. Box 216","","Bridgewater",6752,"(860) 354-5250"
"Bridgewater",900508210,1999,"","P.O. Box 216","","Bridgewater",6752,"(860) 354-5250"
"Bridgewater",900508210,2002,"","P.O. Box 216","","Bridgewater",6752,"(860) 354-5250"
"Bridgewater",900508210,2006,"","P.O. Box 216","","Bridgewater",6752,"(860) 354-5250"
"Bridgewater",900508210,2011,"","P.O. Box 216","","Bridgewater",6752,"(860) 354-5250"
"Bridgewater",900508210,2018,"","P.O. Box 171","","Bridgewater",6752,"(860) 355-9379"
"Bristol",900308490,1996,"","111 North Main Street","","Bristol",6010,"(860) 584-7612"
"Bristol",900308490,1999,"","111 North Main Street","","Bristol",6010,"(860) 584-7612"
"Bristol",900308490,2002,"","111 North Main Street","","Bristol",6010,"(860) 584-7612"
"Bristol",900308490,2006,"","111 North Main Street","","Bristol",6010,"(860) 584-7612"
"Bristol",900308490,2011,"","111 North Main Street","","Bristol",6010,"(860) 584-7612"
"Bristol",900308490,2018,"","111 North Main Street","","Bristol",6010,"(860) 584-7612"
"Brookfield",900108980,1996,"","P.O. Box 5106","","Brookfield",6804,"(203) 775-7300"
"Brookfield",900108980,1999,"","P.O. Box 5106","","Brookfield",6804,"(203) 775-7300"
"Brookfield",900108980,2002,"","P.O. Box 5106","","Brookfield",6804,"(203) 775-7300"
"Brookfield",900108980,2006,"","P.O. Box 5106","","Brookfield",6804,"(203) 775-7300"
"Brookfield",900108980,2011,"","P.O. Box 5106","","Brookfield",6804,"(203) 775-7300"
"Brookfield",900108980,2018,"","100 Pocono Road","","Brookfield",6804,"(203) 775-5235"
"Brooklyn",901509190,1996,"","4 Wolf Den Road","","Brooklyn",6234,"(860) 779-3411"
"Brooklyn",901509190,1999,"","4 Wolf Den Road","","Brooklyn",6234,"(860) 779-3411"
"Brooklyn",901509190,2002,"","4 Wolf Den Road","","Brooklyn",6234,"(860) 779-3411"
"Brooklyn",901509190,2006,"","4 Wolf Den Road","","Brooklyn",6234,"(860) 779-3411"
"Brooklyn",901509190,2011,"","4 Wolf Den Road","","Brooklyn",6234,"(860) 779-3411"
"Brooklyn",901509190,2018,"","4 Wolf Den Road","","Brooklyn",6234,"(860) 779-3411"
"Burlington",900310100,1996,"","200 Spielman Highway","","Burlington",6013,"(860) 673-6789"
"Burlington",900310100,1999,"","200 Spielman Highway","","Burlington",6013,"(860) 673-6789"
"Burlington",900310100,2002,"","200 Spielman Highway","","Burlington",6013,"(860) 673-6789"
"Burlington",900310100,2006,"","200 Spielman Highway","","Burlington",6013,"(860) 673-6789"
"Burlington",900310100,2011,"","200 Spielman Highway","","Burlington",6013,"(860) 673-6789"
"Burlington",900310100,2018,"","200 Spielman Highway","","Burlington",6013,"(860) 673-6789"
"Canaan",900510940,1996,"","P.O. Box 47,  Falls Village","","Canaan",6031,"(860) 824-0707"
"Canaan",900510940,1999,"","P.O. Box 47,  Falls Village","","Canaan",6031,"(860) 824-0707"
"Canaan",900510940,2002,"","P.O. Box 47,  Falls Village","","Canaan",6031,"(860) 824-0707"
"Canaan",900510940,2006,"","P.O. Box 47,  Falls Village","","Canaan",6031,"(860) 824-0707"
"Canaan",900510940,2011,"","P.O. Box 47,  Falls Village","","Canaan",6031,"(860) 824-0707"
"Canaan",900510940,2018,"","P.O. Box 47,  Falls Village","","Canaan",6031,"(860) 824-0707"
"Canterbury",901512130,1996,"","P.O. Box 26","","Canterbury",6331,"(860) 546-9693"
"Canterbury",901512130,1999,"","P.O. Box 26","","Canterbury",6331,"(860) 546-9693"
"Canterbury",901512130,2002,"","P.O. Box 26","","Canterbury",6331,"(860) 546-9693"
"Canterbury",901512130,2006,"","P.O. Box 26","","Canterbury",6331,"(860) 546-9693"
"Canterbury",901512130,2011,"","P.O. Box 26","","Canterbury",6331,"(860) 546-9693"
"Canterbury",901512130,2018,"","P.O. Box 26","","Canterbury",6331,"(860) 546-9693"
"Canton",900312270,1996,"","P.O. Box 168","","Canton",6022,"(860) 693-7847"
"Canton",900312270,1999,"","P.O. Box 168","","Canton",6022,"(860) 693-7847"
"Canton",900312270,2002,"","P.O. Box 168","","Canton",6022,"(860) 693-7847"
"Canton",900312270,2006,"","P.O. Box 168","","Canton",6022,"(860) 693-7847"
"Canton",900312270,2011,"","P.O. Box 168","","Canton",6022,"(860) 693-7847"
"Canton",900312270,2018,"Town Hall","4 Market Street","P.O. Box 168","Collinsville",6022,"(860) 693-7847"
"Chaplin",901513810,1996,"","P. O. Box 286","","Chaplin",6235,"(860) 455-0073"
"Chaplin",901513810,1999,"","P. O. Box 286","","Chaplin",6235,"(860) 455-0073"
"Chaplin",901513810,2002,"","P. O. Box 286","","Chaplin",6235,"(860) 455-0073"
"Chaplin",901513810,2006,"","P. O. Box 286","","Chaplin",6235,"(860) 455-0073"
"Chaplin",901513810,2011,"","P. O. Box 286","","Chaplin",6235,"(860) 455-0073"
"Chaplin",901513810,2018,"","495 Phoenixville Road","","Chaplin",6235,"(860) 455-0073"
"Cheshire",900914160,1996,"","84 South Main Street","","Cheshire",6410,"(203) 271-6660"
"Cheshire",900914160,1999,"","84 South Main Street","","Cheshire",6410,"(203) 271-6660"
"Cheshire",900914160,2002,"","84 South Main Street","","Cheshire",6410,"(203) 271-6660"
"Cheshire",900914160,2006,"","84 South Main Street","","Cheshire",6410,"(203) 271-6660"
"Cheshire",900914160,2011,"","84 South Main Street","","Cheshire",6410,"(203) 271-6660"
"Cheshire",900914160,2018,"","84 South Main Street","","Cheshire",6410,"(203) 271-6660"
"Chester",900714300,1996,"","P.O. Box 218","","Chester",6412,"(860) 526-0013"
"Chester",900714300,1999,"","P.O. Box 218","","Chester",6412,"(860) 526-0013"
"Chester",900714300,2002,"","P.O. Box 218","","Chester",6412,"(860) 526-0013"
"Chester",900714300,2006,"","P.O. Box 218","","Chester",6412,"(860) 526-0013"
"Chester",900714300,2011,"","P.O. Box 218","","Chester",6412,"(860) 526-0013"
"Chester",900714300,2018,"","P.O. Box 218","","Chester",6412,"(860) 526-0013"
"Clinton",900715350,1996,"","54 East Main Street","","Clinton",6413,"(860) 669-9333"
"Clinton",900715350,1999,"","54 East Main Street","","Clinton",6413,"(860) 669-9333"
"Clinton",900715350,2002,"","54 East Main Street","","Clinton",6413,"(860) 669-9333"
"Clinton",900715350,2006,"","54 East Main Street","","Clinton",6413,"(860) 669-9333"
"Clinton",900715350,2011,"","54 East Main Street","","Clinton",6413,"(860) 669-9333"
"Clinton",900715350,2018,"","54 East Main Street","","Clinton",6413,"(860) 669-9333"
"Colchester",901115910,1996,"","127 Norwich Avenue","","Colchester",6415,"(860) 537-7220"
"Colchester",901115910,1999,"","127 Norwich Avenue","","Colchester",6415,"(860) 537-7220"
"Colchester",901115910,2002,"","127 Norwich Avenue","","Colchester",6415,"(860) 537-7220"
"Colchester",901115910,2006,"","127 Norwich Avenue","","Colchester",6415,"(860) 537-7220"
"Colchester",901115910,2011,"","127 Norwich Avenue","","Colchester",6415,"(860) 537-7220"
"Colchester",901115910,2018,"","127 Norwich Avenue","","Colchester",6415,"(860) 537-7220"
"Colebrook",900516050,1996,"","P.O. Box 5","","Colebrook",6021,"(860) 379-3359"
"Colebrook",900516050,1999,"","P.O. Box 5","","Colebrook",6021,"(860) 379-3359"
"Colebrook",900516050,2002,"","P.O. Box 5","","Colebrook",6021,"(860) 379-3359"
"Colebrook",900516050,2006,"","P.O. Box 5","","Colebrook",6021,"(860) 379-3359"
"Colebrook",900516050,2011,"","P.O. Box 5","","Colebrook",6021,"(860) 379-3359"
"Colebrook",900516050,2018,"","P.O. Box 5","","Colebrook",6021,"(860) 379-3359"
"Columbia",901316400,1996,"","323 Jonathan Trumbull Highway","","Columbia",6237,"(860) 228-0110"
"Columbia",901316400,1999,"","323 Jonathan Trumbull Highway","","Columbia",6237,"(860) 228-0110"
"Columbia",901316400,2002,"","323 Jonathan Trumbull Highway","","Columbia",6237,"(860) 228-0110"
"Columbia",901316400,2006,"","323 Jonathan Trumbull Highway","","Columbia",6237,"(860) 228-0110"
"Columbia",901316400,2011,"","323 Jonathan Trumbull Highway","","Columbia",6237,"(860) 228-0110"
"Columbia",901316400,2018,"","323 Jonathan Trumbull Highway","","Columbia",6237,"(860) 228-0110"
"Cornwall",900517240,1996,"","P.O. Box 205","","Cornwall",6753,"(860) 672-4959"
"Cornwall",900517240,1999,"","P.O. Box 205","","Cornwall",6753,"(860) 672-4959"
"Cornwall",900517240,2002,"","P.O. Box 205","","Cornwall",6753,"(860) 672-4959"
"Cornwall",900517240,2006,"","P.O. Box 205","","Cornwall",6753,"(860) 672-4959"
"Cornwall",900517240,2011,"","P.O. Box 205","","Cornwall",6753,"(860) 672-4959"
"Cornwall",900517240,2018,"","P.O. Box 97","","Cornwall",6753,"(860) 672-4959"
"Coventry",901317800,1996,"","P.O. Box 189","","Coventry",6238,"(860) 742-6324"
"Coventry",901317800,1999,"","P.O. Box 189","","Coventry",6238,"(860) 742-6324"
"Coventry",901317800,2002,"","P.O. Box 189","","Coventry",6238,"(860) 742-6324"
"Coventry",901317800,2006,"","P.O. Box 189","","Coventry",6238,"(860) 742-6324"
"Coventry",901317800,2011,"","P.O. Box 189","","Coventry",6238,"(860) 742-6324"
"Coventry",901317800,2018,"","1712 Main Street","","Coventry",6238,"(860) 742-6324"
"Cromwell",900718080,1996,"","41 West Street","","Cromwell",6416,"(860) 632-3410"
"Cromwell",900718080,1999,"","41 West Street","","Cromwell",6416,"(860) 632-3410"
"Cromwell",900718080,2002,"","41 West Street","","Cromwell",6416,"(860) 632-3410"
"Cromwell",900718080,2006,"","41 West Street","","Cromwell",6416,"(860) 632-3410"
"Cromwell",900718080,2011,"","41 West Street","","Cromwell",6416,"(860) 632-3410"
"Cromwell",900718080,2018,"","41 West Street","","Cromwell",6416,"(860) 632-3410"
"Danbury",900118500,1996,"","155 Deer Hill Avenue","","Danbury",6810,"(203) 797-4511"
"Danbury",900118500,1999,"","155 Deer Hill Avenue","","Danbury",6810,"(203) 797-4511"
"Danbury",900118500,2002,"","155 Deer Hill Avenue","","Danbury",6810,"(203) 797-4511"
"Danbury",900118500,2006,"","155 Deer Hill Avenue","","Danbury",6810,"(203) 797-4511"
"Danbury",900118500,2011,"","155 Deer Hill Avenue","","Danbury",6810,"(203) 797-4511"
"Danbury",900118500,2018,"","155 Deer Hill Avenue","","Danbury",6810,"(203) 797-4511"
"Darien",900118850,1996,"","2 Renshaw Road","","Darien",6820,"(203) 656-7338"
"Darien",900118850,1999,"","2 Renshaw Road","","Darien",6820,"(203) 656-7338"
"Darien",900118850,2002,"","2 Renshaw Road","","Darien",6820,"(203) 656-7338"
"Darien",900118850,2006,"","2 Renshaw Road","","Darien",6820,"(203) 656-7338"
"Darien",900118850,2011,"","2 Renshaw Road","","Darien",6820,"(203) 656-7338"
"Darien",900118850,2018,"","2 Renshaw Road","","Darien",6820,"(203) 656-7338"
"Deep River",900719130,1996,"","174 Main Street","","Deep River",6417,"(860) 526-6020"
"Deep River",900719130,1999,"","174 Main Street","","Deep River",6417,"(860) 526-6020"
"Deep River",900719130,2002,"","174 Main Street","","Deep River",6417,"(860) 526-6020"
"Deep River",900719130,2006,"","174 Main Street","","Deep River",6417,"(860) 526-6020"
"Deep River",900719130,2011,"","174 Main Street","","Deep River",6417,"(860) 526-6020"
"Deep River",900719130,2018,"","174 Main Street","","Deep River",6417,"(860) 526-6020"
"Derby",900919550,1996,"City Hall","35 Fifth Street","","Derby",6418,"(203) 736-1450"
"Derby",900919550,1999,"City Hall","35 Fifth Street","","Derby",6418,"(203) 736-1450"
"Derby",900919550,2002,"City Hall","35 Fifth Street","","Derby",6418,"(203) 736-1450"
"Derby",900919550,2006,"City Hall","35 Fifth Street","","Derby",6418,"(203) 736-1450"
"Derby",900919550,2011,"City Hall","35 Fifth Street","","Derby",6418,"(203) 736-1450"
"Derby",900919550,2018,"City Hall","1 Elizabeth Street","","Derby",6418,"(203) 736-1450"
"Durham",900720810,1996,"","P.O. Box 428","","Durham",6422,"(860) 349-3452"
"Durham",900720810,1999,"","P.O. Box 428","","Durham",6422,"(860) 349-3452"
"Durham",900720810,2002,"","P.O. Box 428","","Durham",6422,"(860) 349-3452"
"Durham",900720810,2006,"","P.O. Box 428","","Durham",6422,"(860) 349-3452"
"Durham",900720810,2011,"","P.O. Box 428","","Durham",6422,"(860) 349-3452"
"Durham",900720810,2018,"","30 Town House Road","P.O. Box 428","Durham",6422,"(860) 349-3452"
"Eastford",901521860,1996,"","P.O. Box 273","","Eastford",6242,"(860) 974-0133"
"Eastford",901521860,1999,"","P.O. Box 273","","Eastford",6242,"(860) 974-0133"
"Eastford",901521860,2002,"","P.O. Box 273","","Eastford",6242,"(860) 974-0133"
"Eastford",901521860,2006,"","P.O. Box 273","","Eastford",6242,"(860) 974-0133"
"Eastford",901521860,2011,"","P.O. Box 273","","Eastford",6242,"(860) 974-0133"
"Eastford",901521860,2018,"","P.O. Box 273","","Eastford",6242,"(860) 974-0133"
"East Granby",900322070,1996,"","P.O. Box 1858","","East Granby",6026,"(860) 653-2576"
"East Granby",900322070,1999,"","P.O. Box 1858","","East Granby",6026,"(860) 653-2576"
"East Granby",900322070,2002,"","P.O. Box 1858","","East Granby",6026,"(860) 653-2576"
"East Granby",900322070,2006,"","P.O. Box 1858","","East Granby",6026,"(860) 653-2576"
"East Granby",900322070,2011,"","P.O. Box 1858","","East Granby",6026,"(860) 653-2576"
"East Granby",900322070,2018,"","P.O. Box 1858","","East Granby",6026,"(860) 653-2576"
"East Haddam",900722280,1996,"","P. O. Box K","","East Haddam",6423,"(860) 873-5020"
"East Haddam",900722280,1999,"","P. O. Box K","","East Haddam",6423,"(860) 873-5020"
"East Haddam",900722280,2002,"","P. O. Box K","","East Haddam",6423,"(860) 873-5020"
"East Haddam",900722280,2006,"","P. O. Box K","","East Haddam",6423,"(860) 873-5020"
"East Haddam",900722280,2011,"","P. O. Box K","","East Haddam",6423,"(860) 873-5020"
"East Haddam",900722280,2018,"","1 Plains Road","P.O. Box 385","Moodus",6469,"(860) 873-5020"
"East Hampton",900722490,1996,"","20 East High Street","","East Hampton",6424,"(860) 267-4468"
"East Hampton",900722490,1999,"","20 East High Street","","East Hampton",6424,"(860) 267-4468"
"East Hampton",900722490,2002,"","20 East High Street","","East Hampton",6424,"(860) 267-4468"
"East Hampton",900722490,2006,"","20 East High Street","","East Hampton",6424,"(860) 267-4468"
"East Hampton",900722490,2011,"","20 East High Street","","East Hampton",6424,"(860) 267-4468"
"East Hampton",900722490,2018,"","20 East High Street","","East Hampton",6424,"(860) 267-4468"
"East Hartford",900322630,1996,"","740 Main Street","","East Hartford",6108,"(860 291-7200"
"East Hartford",900322630,1999,"","740 Main Street","","East Hartford",6108,"(860 291-7200"
"East Hartford",900322630,2002,"","740 Main Street","","East Hartford",6108,"(860 291-7200"
"East Hartford",900322630,2006,"","740 Main Street","","East Hartford",6108,"(860 291-7300"
"East Hartford",900322630,2011,"","740 Main Street","","East Hartford",6108,"(860 291-7300"
"East Hartford",900322630,2018,"","740 Main Street","","East Hartford",6108,"(860) 291-7300"
"East Haven",900922910,1996,"Town Hall","250 Main Street","","East Haven",6512,"(203) 468-3204"
"East Haven",900922910,1999,"Town Hall","250 Main Street","","East Haven",6512,"(203) 468-3204"
"East Haven",900922910,2002,"Town Hall","250 Main Street","","East Haven",6512,"(203) 468-3204"
"East Haven",900922910,2006,"Town Hall","250 Main Street","","East Haven",6512,"(203) 468-3204"
"East Haven",900922910,2011,"Town Hall","250 Main Street","","East Haven",6512,"(203) 468-3204"
"East Haven",900922910,2018,"Town Hall","250 Main Street","","East Haven",6512,"(203) 468-3204"
"East Lyme",901123400,1996,"","P. O. Box 519, Niantic","","East Lyme",6357,"(860) 739-6931"
"East Lyme",901123400,1999,"","P. O. Box 519, Niantic","","East Lyme",6357,"(860) 739-6931"
"East Lyme",901123400,2002,"","P. O. Box 519, Niantic","","East Lyme",6357,"(860) 739-6931"
"East Lyme",901123400,2006,"","P. O. Box 519, Niantic","","East Lyme",6357,"(860) 739-6931"
"East Lyme",901123400,2011,"","P. O. Box 519, Niantic","","East Lyme",6357,"(860) 739-6931"
"East Lyme",901123400,2018,"","108 Pennsylvania Ave","","East Lyme",6357,"(860) 739-6931"
"Easton",900123890,1996,"Town Hall","225 Center Road","","Easton",6612,"(203) 268-6291"
"Easton",900123890,1999,"Town Hall","225 Center Road","","Easton",6612,"(203) 268-6291"
"Easton",900123890,2002,"Town Hall","225 Center Road","","Easton",6612,"(203) 268-6291"
"Easton",900123890,2006,"Town Hall","225 Center Road","","Easton",6612,"(203) 268-6291"
"Easton",900123890,2011,"Town Hall","225 Center Road","","Easton",6612,"(203) 268-6291"
"Easton",900123890,2018,"Town Hall","225 Center Road","","Easton",6612,"(203) 268-6291"
"East Windsor",900324800,1996,"","11 Rye Street","","Broad Brook",6016,"(860) 623-8122"
"East Windsor",900324800,1999,"","11 Rye Street","","Broad Brook",6016,"(860) 623-8122"
"East Windsor",900324800,2002,"","11 Rye Street","","Broad Brook",6016,"(860) 623-8122"
"East Windsor",900324800,2006,"","11 Rye Street","","Broad Brook",6016,"(860) 623-8122"
"East Windsor",900324800,2011,"","11 Rye Street","","Broad Brook",6016,"(860) 623-8122"
"East Windsor",900324800,2018,"","11 Rye Street","","Broad Brook",6016,"(860) 623-8122"
"Ellington",901325360,1996,"","P.O. Box 187","","Ellington",6029,"(860) 875-0787"
"Ellington",901325360,1999,"","P.O. Box 187","","Ellington",6029,"(860) 875-0787"
"Ellington",901325360,2002,"","P.O. Box 187","","Ellington",6029,"(860) 870-3100"
"Ellington",901325360,2006,"","P.O. Box 187","","Ellington",6029,"(860) 870-3100"
"Ellington",901325360,2011,"","P.O. Box 187","","Ellington",6029,"(860) 870-3100"
"Ellington",901325360,2018,"","P.O. Box 187","","Ellington",6029,"(860) 870-3100"
"Enfield",900325990,1996,"","820 Enfield Street","","Enfield",6082,"(860) 253-6350"
"Enfield",900325990,1999,"","820 Enfield Street","","Enfield",6082,"(860) 253-6350"
"Enfield",900325990,2002,"","820 Enfield Street","","Enfield",6082,"(860) 253-6350"
"Enfield",900325990,2006,"","820 Enfield Street","","Enfield",6082,"(860) 253-6350"
"Enfield",900325990,2011,"","820 Enfield Street","","Enfield",6082,"(860) 253-6350"
"Enfield",900325990,2018,"","820 Enfield Street","","Enfield",6082,"(860) 253-6350"
"Essex",900726270,1996,"","P.O. Box 98","","Essex",6426,"(860) 767-4340"
"Essex",900726270,1999,"","P.O. Box 98","","Essex",6426,"(860) 767-4340"
"Essex",900726270,2002,"","P.O. Box 98","","Essex",6426,"(860) 767-4340"
"Essex",900726270,2006,"","P.O. Box 98","","Essex",6426,"(860) 767-4340"
"Essex",900726270,2011,"","P.O. Box 98","","Essex",6426,"(860) 767-4340"
