Town,FIPS,Year,Address 1,Address 2,Address 3,City,Zip,Telephone,Website
Weston,900183430,2018,,56 Norfield Road,,Weston,6883,(203) 222-2656,www.westonct.gov
Westport,900183500,2018,,110 Myrtle Avenue,,Westport,6880,(203) 341-1111,www.westportct.gov
Wethersfield,900384900,2018,,505 Silas Deane Highway,,Wethersfield,6109,(860) 721-2801,
Willington,901385950,2018,,40 Old Farms Road,,Willington,6279,(860) 487-3100,www.willingtonct.org
Wilton,900186370,2018,,238 Danbury Road,,Wilton,6897,(203) 834-9200,
Winchester,900586440,2018,,338 Main Street,,Winchester,6098,(860) 738-6962,
Windham,901586790,2018,,979 Main Street,,Willimantic,6226,(860) 465-3006,
Windsor,900387000,2018,,275 Broad Street,,Windsor,6095,(860) 285-1877,www.townofwindsorct.com
Windsor Locks,900387070,2018,,50 Church Street,,Windsor Locks,6096,(860) 627-1444,
Wolcott,900987560,2018,,10 Kenea Avenue,,Wolcott,6716,(203) 879-8100,
Woodbridge,900987700,2018,Town Hall,11 Meetinghouse Lane,,Woodbridge,6525,(203) 389-3401,
Woodbury,900587910,2018,,281 Main Street South,,Woodbury,6798,(203) 263-2141,www.woodburyct.org
Woodstock,901588190,2018,,415 Route 169,,Woodstock,6281,(860) 928-6929,www.woodstockct.gov
